----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-19T11:17:12.524+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Resize to 416 x 416
2023-06-19T11:17:12.677+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.692+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.692+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.692+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.692+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
2023-06-19T11:17:12.692+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Resize to 416 x 416
2023-06-19T11:17:12.837+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: 10 Detect
2023-06-19T11:17:12.852+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copied to input tensor done
2023-06-19T11:17:12.852+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: Copy 519168 bytes to input tensor handle:10 addr:0x74216000
2023-06-19T11:17:12.852+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: DoInference
2023-06-19T11:17:12.852+09:00 axis-b8a44f27a336 [ INFO    ] snow_depth[11185]: First byte of buffer:0
