----- Contents of SYSTEM_LOG for 'snow_depth' -----


2023-06-18T17:52:26.257+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Running OpenCV example with VDO as video source
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:555 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:556 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:557 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:558 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:559 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:560 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:561 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:562 value: 255
2023-06-18T17:52:29.308+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:563 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:544 value: 121
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:545 value: 139
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:546 value: 162
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:547 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:548 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:549 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:550 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:551 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:552 value: 255
2023-06-18T17:52:29.311+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: Y:553 value: 255
2023-06-18T17:52:29.355+09:00 axis-b8a44f6b8c83 [ INFO    ] snow_depth[5886]: '1': 0.000000
